Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10986842,"Shaky warriors","2023-11-10 17:02:41",147.465267,48,"erlendlokna,johanvikmathisen"
2,10986550,"R U smarter than a 5th grdr?","2023-11-11 22:20:46",147.524857,152,"kevin10tran12,sunnivaa,vildethorstensen"
3,10961490,"Group 004","2023-11-11 15:20:26",147.985350,186,"abdulrahmanakkawi,davidtaraldsen,valentinai"
4,11072037,"AI papi!","2023-11-12 20:31:50",148.718766,108,"henningolweus,perchristiangrieg,syvernes"
5,10977000,"NeuralNet Ninjas™","2023-11-12 19:38:34",149.454877,146,"kristoffergrude,mathiasraa,siverteggen"
6,10966128,"[028] ML Magicians","2023-11-11 14:38:44",150.875248,113,"jtulvik,marcushjrund,simenwold"
7,10971514,"Tech Bros [71]","2023-11-12 20:18:48",151.074858,111,"axelvillangerbang,hkonbakkekjerstad,mathiasivindandresen"
8,10970437,"Solar AI","2023-11-12 20:09:05",151.162683,118,"joelconstantinos1,julleeee,vilhjalv"
9,10953496,"[46] GoatBoost","2023-11-12 13:15:50",151.422178,138,"hormar21,karolinestabell,oda123456"
10,11129727,nonnegata,"2023-11-12 20:16:04",151.488744,78,"mortenviersimensen,simenwaitz"
11,11092669,"Haakon Birketvedt23","2023-11-12 18:58:48",151.558806,91,"eskilpedersen,haakonbirketvedt23"
12,10953396,"Group 45","2023-11-12 11:44:23",151.627158,59,"bjornaronrydland,jakobcuhra,sirfatpants"
13,11010387,"085 - The Overfit Club","2023-11-11 16:04:32",151.682031,98,"axelandreassen,pederstenbergnilsen,thomasmelkeraaen"
14,11035573,Maskinlærerene,"2023-11-12 19:24:32",151.701542,107,"erikmjaanes,matsundseth,sondrerogde"
15,10962227,"Group 67","2023-11-10 07:39:52",151.847891,97,"hermansolem,petersagdahl,sanderboyeeikeland"
16,10953103,"Cognitive Commanders","2023-11-12 18:30:53",151.889116,95,"christofferroelofsen,mathiasotnes,petterdalhaug"
17,11074122,"[Group 116] UwU","2023-11-12 17:04:45",151.913361,78,"eskildf,mariusberdalgaalaas,martinkristiansentmt"
18,11225680,"Kristian M. Larsen","2023-11-11 23:55:26",151.936958,9,kristianmlarsen
19,10962369,"🤖 Suboptimus Prime","2023-11-12 03:32:08",152.037776,117,"peterskaarnordby,simenkristoffersen"
20,11113294,"I'm just Ken","2023-11-12 17:48:22",152.044424,73,"christianroh,hallvaeb,olavuk"
21,10962134,"Group 21 - We're Kenough","2023-11-11 15:29:49",152.105828,110,"angelicaricci,mattiamilone,michelelamon"
22,11229915,"[Deleted] ae0fd83f-3d2a-4ece-b9ad-942ff93eca9c","2023-11-12 18:35:10",152.131494,16,del=fa78d00e73939692
23,10957430,"Negative Power Inc.","2023-11-12 16:24:21",152.433497,155,"isakyt,jorgenbakken,olarasmussen"
24,11052642,"Bits Please [63]","2023-11-12 10:03:25",152.449116,151,"eirinsudbsivertsen,sigurhb,trymwian"
25,10986870,5tabekk,"2023-11-12 17:13:16",152.558282,79,"devtons,dylansaeed,simenburgos"
0,11233210,"[VT] Goslightning","2023-11-12 19:52:48",152.580549,1,
26,10966513,"Boost Baddies","2023-11-10 07:58:08",152.596715,53,"kamorkve,robinaakvik"
