Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10961490,"Group 004","2023-11-11 15:20:26",138.418022,186,"abdulrahmanakkawi,davidtaraldsen,valentinai"
2,10970437,"Solar AI","2023-11-12 20:09:05",139.079914,118,"joelconstantinos1,julleeee,vilhjalv"
3,11129727,nonnegata,"2023-11-12 20:16:04",139.231534,78,"mortenviersimensen,simenwaitz"
4,10953247,"Group 60","2023-11-12 18:24:02",139.345533,99,"espenaakresjo,sivertsandekverme"
5,10977000,"NeuralNet Ninjas™","2023-11-12 19:38:34",139.666068,146,"kristoffergrude,mathiasraa,siverteggen"
6,11072037,"AI papi!","2023-11-12 20:31:50",139.766030,108,"henningolweus,perchristiangrieg,syvernes"
7,10972109,"Dig Bick Energy Inc.","2023-11-12 17:39:35",139.771554,178,"fabianfossbudal,martinbb,ovebugten"
8,10953330,"[003] Linear Regression","2023-11-12 20:43:45",139.820266,141,"ellingsvee,erikmma,matiassunde2"
9,10966128,"[028] ML Magicians","2023-11-11 14:38:44",139.843480,113,"jtulvik,marcushjrund,simenwold"
10,10986550,"R U smarter than a 5th grdr?","2023-11-11 22:20:46",139.854413,152,"kevin10tran12,sunnivaa,vildethorstensen"
11,10953644,"[012] Neural Network Ninjas","2023-11-12 16:51:04",139.967768,175,"marinorfolk,mathiaskarsrudnordal,olarabrahamsen"
12,10962227,"Group 67","2023-11-10 07:39:52",140.020395,97,"hermansolem,petersagdahl,sanderboyeeikeland"
13,11011435,"[Group 33] cache me if you can","2023-11-12 13:31:19",140.101363,71,"greveisdahl,nicholasselvik,nicolayhagen"
14,10966250,"Forrest Gump","2023-11-12 20:31:40",140.197842,88,"henningdroepping,matsalexander,mikaelsteenbuch"
15,10957430,"Negative Power Inc.","2023-11-12 16:24:21",140.385651,155,"isakyt,jorgenbakken,olarasmussen"
16,10953496,"[46] GoatBoost","2023-11-12 13:15:50",140.735827,138,"hormar21,karolinestabell,oda123456"
17,11052642,"Bits Please [63]","2023-11-12 10:03:25",140.885699,151,"eirinsudbsivertsen,sigurhb,trymwian"
18,10954723,"NaN Squad","2023-11-12 14:18:49",141.123800,113,"aslakvengbo,henrikjbs,jorgensandhaug"
19,10971514,"Tech Bros [71]","2023-11-12 20:18:48",141.125782,111,"axelvillangerbang,hkonbakkekjerstad,mathiasivindandresen"
20,11011005,Nederlaget,"2023-11-12 19:45:16",141.140615,55,"benjaminstiftkrogh,christoffernetskar,oscarroos"
21,10965878,"[146] hey girl lets ML n chill","2023-11-11 15:14:39",141.176851,98,"joakimness,olerlasson,sinanmaric"
22,11018085,"Neural Net Nutheads","2023-11-12 17:31:05",141.233002,44,"hansivarwgsslberg,oskarbrandsaetervik"
23,10966513,"Boost Baddies","2023-11-10 07:58:08",141.352154,53,"kamorkve,robinaakvik"
24,11077701,"Tay 2.0","2023-11-12 16:16:54",141.372133,58,"magnusbyrkjeland,oscartimmmarcussen,sondrekolberg"
25,11035573,Maskinlærerene,"2023-11-12 19:24:32",141.412564,107,"erikmjaanes,matsundseth,sondrerogde"
26,10953497,"[199] Do not solo the project","2023-11-11 18:32:51",141.445100,65,kemosabe01
27,11199043,"[Deleted] 22abf6f6-d049-438f-a066-9ce9ab87cf01","2023-11-10 14:20:03",141.510135,23,del=794835fba3df128e
28,10953139,Ehhhhhhh,"2023-11-12 16:46:00",141.533483,121,"mariostud,mktk24,torsteinkorten"
29,11045093,"073 Du må ikke sove","2023-11-12 08:25:54",141.549164,47,"patricklevin,thomashaugendelange,toguho"
30,11102552,"[Group 11] Overfit Oracles","2023-11-12 13:58:10",141.560853,71,"emilholmen,henrikwetlesenborge,hermanholmoy"
31,10986390,"[121] The Decision Tree-nity","2023-11-11 09:41:14",141.708300,78,"mikkelaaguttormsen,sofietoskahalvorsen,sofieytterstad"
32,10986842,"Shaky warriors","2023-11-10 17:02:41",141.825727,48,"erlendlokna,johanvikmathisen"
33,11092669,"Haakon Birketvedt23","2023-11-12 18:58:48",141.829465,91,"eskilpedersen,haakonbirketvedt23"
34,10968288,"Catch [22]","2023-11-12 16:58:08",141.857805,133,"hansmutne,thomaskrogstad1"
35,10998390,"[39] brute force","2023-11-12 17:37:43",141.957320,67,"halvardliland,isabeltlam,sanderskonhoft"
36,10986870,5tabekk,"2023-11-12 17:13:16",141.987501,79,"devtons,dylansaeed,simenburgos"
37,10953126,"I love your NaN(s)","2023-11-12 20:32:08",142.009423,152,"henrikhorpedal,phdpham,roryfitzgerald"
38,10953760,"Group 43","2023-11-11 19:25:29",142.016531,107,"ofplarsen,olasther,simeonchristoffersen"
39,11010166,"[34] I am Kenough","2023-11-11 09:47:32",142.056333,157,"elintoverud2,sindrehaugland,thomasteigland"
40,10962369,"🤖 Suboptimus Prime","2023-11-12 03:32:08",142.151187,117,"peterskaarnordby,simenkristoffersen"
41,11142768,"The learning machines","2023-11-11 23:00:50",142.159781,90,"kristineggen,martee"
42,11004670,"K Klustering Klan","2023-11-12 20:42:25",142.171013,69,"erikbjrnstad,mathiashaakonaas,simensee"
43,11009858,Kjøh,"2023-11-12 17:30:36",142.171551,87,"henrikaas,martemorgenlieskei,nikolauswieland"
44,10953347,"Group 6","2023-11-12 20:04:05",142.201337,165,"gunnarnystad,peterskoland,sverrenystad"
45,10984408,"[107+random] Brazil 🇧🇷","2023-11-12 19:23:15",142.231328,84,"jonatanlrdahl,magnussagmo,marenarno"
46,11074122,"[Group 116] UwU","2023-11-12 17:04:45",142.291002,78,"eskildf,mariusberdalgaalaas,martinkristiansentmt"
47,10986152,"Xtreme Gorilla Bowling [056]","2023-11-12 18:02:38",142.292893,106,"cristianogambirasio,lasselemke"
48,10998993,"[Group 05] Boosted","2023-11-12 20:33:11",142.331024,96,"jacobalindberg,kaiborgen,vegardtrumhaugerud"
49,10953396,"Group 45","2023-11-12 11:44:23",142.408312,59,"bjornaronrydland,jakobcuhra,sirfatpants"
50,11010387,"085 - The Overfit Club","2023-11-11 16:04:32",142.580262,98,"axelandreassen,pederstenbergnilsen,thomasmelkeraaen"
51,11228519,"[Deleted] ea97629a-4261-421c-95ca-8abd59a288fb","2023-11-12 17:30:27",142.659296,9,del=d576250d8dc744e4
52,10962134,"Group 21 - We're Kenough","2023-11-11 15:29:49",142.727691,110,"angelicaricci,mattiamilone,michelelamon"
53,11124662,"CodeCrunch Collective","2023-11-12 16:48:45",142.744833,51,"bendiknatvigbacke,markusmyklebust,perolavbroback"
0,11233210,"[VT] Goslightning","2023-11-12 19:52:48",142.768873,1,
54,10987272,"Null In My Kernel","2023-11-12 20:54:41",142.906700,130,"aaryanneupane,beachboy12345,sindrelothe"
55,11009847,"The Data Divas","2023-11-12 12:22:41",143.073792,122,"malindoskeland,martevingsnes,odagraufferntsen"
56,11229915,"[Deleted] ae0fd83f-3d2a-4ece-b9ad-942ff93eca9c","2023-11-12 18:35:10",143.155757,16,del=fa78d00e73939692
57,10977100,"[Group 61] Starheim","2023-11-12 20:32:58",143.229364,65,"davidrknott,hansandreaslindgrd,starheim"
58,10986322,"[092] Bestejentene :*","2023-11-12 18:13:16",143.246215,89,"elinekjersemhareide,emmichewigand,tobiasbergeland"
59,10953597,"Relu Rep Rippers","2023-11-12 20:43:38",143.495805,124,"dragevxo,mikkelol"
60,10970032,"[042] Energy Intuition","2023-11-12 17:09:23",143.566022,97,"maribjornstad,norakyte,sebastianhummelen"
61,10953103,"Cognitive Commanders","2023-11-12 18:30:53",143.583079,95,"christofferroelofsen,mathiasotnes,petterdalhaug"
62,10990658,SigmoidWarriors,"2023-11-12 19:59:18",143.585237,103,"marcusfuglestad,nickaskari,simenpederstang"
63,11198883,"[Deleted] b7fbe4d0-f27e-4d26-8003-cb45b9d690fd","2023-11-09 20:46:54",143.818439,21,del=b66daaa7ed806536
